,file_name,first_start,first_end,second_start,second_end,time
0,EP001,780,3580,3780,6820,27.90892767906189
1,EP002,590,3330,3640,6580,17.448786973953247
2,EP003,680,3540,3790,6750,19.627662897109985
3,EP004,790,3730,3840,6960,20.47053551673889
4,EP005,-9999,-9999,-9999,-9999,0.0
5,EP006,660,3460,3590,6330,16.29309892654419
6,EP007,700,3680,3820,6800,21.712796688079834
7,EP008,740,3780,3930,6910,21.783485174179077
8,EP009,730,3590,3650,6550,20.0723934173584
9,EP010,730,3570,3810,6970,22.519762992858887
10,EP011,590,3470,3570,6630,17.821516275405884
11,EP012,630,3510,3790,6830,19.616740226745605
12,EP013,580,3580,3730,6470,15.804193258285522
13,EP014,680,3560,3800,6940,21.628803491592407
14,EP015,570,3450,3700,6660,18.63818645477295
15,EP016,680,3540,3780,6740,21.040537357330322
16,EP017,580,3460,3790,6770,21.03186583518982
17,EP018,640,3380,3640,6360,19.751988172531128
18,EP019,630,3430,3560,6520,19.612561464309692
19,EP020,640,3520,3750,6730,21.213041305541992
20,EP021,650,3470,3670,6610,20.982561588287354
21,EP022,580,3400,3670,6590,19.336926221847534
22,EP023,630,3550,3730,6470,16.116777420043945
23,EP024,700,3500,3730,6710,22.733636140823364
24,EP025,710,3630,3810,6870,24.46336007118225
25,EP026,590,3330,3720,6440,19.920716047286987
26,EP027,680,3400,3730,6650,18.395140409469604
27,EP028,620,3400,3730,6650,17.12362790107727
28,EP029,620,3500,3740,6740,21.27754521369934
29,EP030,650,3490,3720,6780,17.570943117141724
30,EP031,640,3460,3760,6720,22.438148021697998
31,EP032,790,3650,3830,6850,25.153475761413574
32,EP033,620,3380,3650,6390,19.536691427230835
33,EP034,640,3520,3830,6690,22.9568350315094
34,EP035,660,3580,3870,6630,25.16109585762024
35,EP036,640,3500,3510,6410,13.870981454849243
36,EP037,660,3600,3730,6650,26.674712419509888
37,EP038,590,3350,4140,7060,27.567805528640747
38,EP039,580,3400,3760,6780,23.829110860824585
39,EP040,590,3470,3640,6540,14.09565544128418
40,EP041,760,3520,3860,6880,21.68732261657715
41,EP042,590,3470,3630,6570,17.096176624298096
42,EP043,720,3720,3990,6910,21.899775743484497
43,EP044,600,3400,3760,6840,20.09915518760681
44,EP045,690,3550,3800,6820,20.776244163513184
45,EP046,650,3470,3820,6780,21.073256015777588
46,EP047,620,3440,4170,7150,26.015965700149536
47,EP048,670,3430,3820,6800,21.1281578540802
48,EP049,600,3400,3760,6720,18.611777544021606
49,EP050,640,3700,3920,6860,21.47525715827942
50,EP051,680,3620,3770,6810,19.763691902160645
51,EP052,680,3540,3810,6750,22.02798557281494
52,EP053,590,3350,3760,6740,22.906932830810547
53,EP054,640,3380,3740,6660,20.474290132522583
54,EP055,650,3590,3850,6830,21.111958265304565
55,EP056,590,3330,3730,6650,19.371657133102417
56,EP057,730,3650,3780,6540,20.69726252555847
57,EP058,760,3560,3760,6540,17.747790336608887
58,EP059,670,3490,3750,7110,32.06015992164612
59,EP060,600,3360,3590,6350,15.243212461471558
60,EP061,710,3630,3760,6740,20.726593255996704
61,EP062,590,3530,3870,6950,24.349844455718994
62,EP063,600,3460,3790,6810,23.833717346191406
63,EP064,670,3610,3790,6770,22.361677646636963
64,EP065,620,3480,3720,6440,18.3101863861084
65,EP066,650,3470,3810,6570,19.672196626663208
66,EP067,590,3550,3790,6690,20.304474592208862
67,EP068,570,3350,3630,6550,17.33732008934021
68,EP069,640,3380,3720,6460,17.439486980438232
69,EP070,590,3470,3680,6780,19.663599967956543
70,EP071,680,3480,3760,6740,21.61117386817932
71,EP072,670,3490,3860,6940,23.615729570388794
72,EP073,600,3420,3670,6590,18.171064615249634
73,EP074,580,3560,3770,6770,19.55360436439514
74,EP075,670,3550,3880,6620,23.92724370956421
75,EP076,600,3400,3760,6840,19.197011470794678
76,EP077,650,3470,3890,6930,27.31093692779541
77,EP078,730,3550,3920,6880,24.562004566192627
78,EP079,650,3510,3900,6620,19.519707679748535
79,EP080,670,3490,3820,6820,23.269956350326538
80,EP081,620,3500,3830,6570,20.143914461135864
81,EP082,650,3530,3790,6830,19.194761276245117
82,EP083,620,3420,3780,6780,19.562093496322632
83,EP084,590,3390,3670,6630,17.518818140029907
84,EP085,710,3610,3880,6860,22.818092823028564
85,EP086,620,3540,3790,6710,19.287355184555054
86,EP087,790,3610,3950,6710,21.54241943359375
87,EP088,840,3580,3830,6870,22.376083374023438
88,EP089,620,3460,3770,6810,22.229378700256348
89,EP090,600,3520,3760,6740,19.487329721450806
90,EP091,690,3630,3840,6680,20.759321928024292
91,EP092,610,3530,3690,6430,15.455127239227295
92,EP093,590,3390,3720,6540,17.88522505760193
93,EP094,590,3410,3660,6600,20.00537347793579
94,EP095,610,3410,3700,6680,19.384088277816772
95,EP096,680,3500,3760,6780,22.492103099822998
96,EP097,710,3570,3800,6860,24.75540566444397
97,EP098,610,3450,3780,6760,24.772030115127563
98,EP099,620,3580,3900,6740,20.825286626815796
99,EP100,620,3620,3950,6750,19.920449256896973
100,EP101,630,3450,4060,6780,22.975722551345825
101,EP102,660,3620,3960,6920,23.355806350708008
102,EP103,620,3440,3650,6510,16.187708377838135
103,EP104,700,3560,3950,6930,26.836998462677002
104,EP105,760,3640,4060,7020,26.85655403137207
105,EP106,780,3600,3860,6800,27.332372188568115
106,EP107,-9999,-9999,-9999,-9999,0.0
107,EP108,-9999,-9999,-9999,-9999,0.0
108,EP109,-9999,-9999,-9999,-9999,0.0
109,EP110,600,3460,3750,6710,20.63379216194153
110,EP111,590,3470,3760,6800,21.198383569717407
111,EP112,620,3680,4050,6990,28.663325309753418
112,EP113,650,3530,3820,6820,22.856614112854004
113,EP114,730,3670,3970,7050,23.21077561378479
114,EP115,620,3600,4050,6770,22.305795431137085
115,EP116,610,3370,3750,6690,18.530025720596313
116,EP117,620,3440,3710,6470,18.903311252593994
117,EP118,750,3670,4030,6970,27.07469129562378
118,EP119,740,3600,3960,6880,23.26937699317932
119,EP120,640,3620,3980,6940,24.54727292060852
120,EP121,600,3380,3800,7000,23.29245162010193
121,EP122,730,3610,3740,6640,16.9768705368042
122,EP123,670,3530,3800,6800,20.74358820915222
123,EP124,600,3460,3730,6750,19.99633502960205
124,EP125,680,3620,3930,6910,20.613043785095215
125,EP126,610,3430,3770,6730,24.8443021774292
126,EP127,640,3520,3990,6830,22.491117000579834
127,EP128,580,3400,3810,6530,17.908921718597412
128,EP129,600,3660,3910,6930,22.807008743286133
129,EP130,600,3520,3800,6540,15.383236169815063
130,EP131,610,3450,3740,6480,20.179242372512817
131,EP132,580,3880,4270,6990,21.249061584472656
132,EP133,650,3470,3770,6710,21.683847427368164
133,EP134,700,3600,3810,6550,19.522531747817993
134,EP135,570,3470,3850,6970,19.518213748931885
135,EP136,600,3460,3750,6750,22.51376461982727
136,EP137,720,3580,3830,6810,23.72870421409607
137,EP138,610,3590,4020,7040,22.036166429519653
138,EP139,680,3480,3700,6620,26.32288360595703
139,EP140,580,3400,3810,6830,23.64945936203003
140,EP141,580,3400,3820,6660,15.382546186447144
141,EP142,590,3490,3630,6750,18.748222589492798
142,EP143,700,3500,3780,6780,20.44837760925293
143,EP144,580,3680,3920,6960,21.155699014663696
144,EP145,610,3370,3730,6670,19.35891819000244
145,EP146,550,3630,4010,7010,23.98231863975525
146,EP147,620,3460,3730,6850,25.899999380111694
147,EP148,590,3450,3850,6570,18.10735297203064
148,EP149,590,3350,3770,6990,27.320255279541016
149,EP150,710,3570,4000,6860,23.961451768875122
