,file_name,first_start_diff,first_end_diff,second_start_diff,second_end_diff,time
0,EP001,-12,24,-10,33,27.90892767906189
1,EP002,-14,25,-15,13,17.448786973953247
2,EP003,-25,13,15,28,19.627662897109985
3,EP004,-22,33,-16,29,20.47053551673889
4,EP005,-9999,-9999,-9999,-9999,0.0
5,EP006,-24,19,-2,35,16.29309892654419
6,EP007,-19,70,-15,24,21.712796688079834
7,EP008,-16,20,-18,19,21.783485174179077
8,EP009,-6,18,9,31,20.0723934173584
9,EP010,-4,17,-3,32,22.519762992858887
10,EP011,-16,30,-18,33,17.821516275405884
11,EP012,-16,20,8,28,19.616740226745605
12,EP013,-24,30,-15,24,15.804193258285522
13,EP014,-26,20,-5,28,21.628803491592407
14,EP015,-32,19,-1,17,18.63818645477295
15,EP016,-21,20,1,15,21.040537357330322
16,EP017,-27,25,-10,32,21.03186583518982
17,EP018,-23,20,8,25,19.751988172531128
18,EP019,-16,25,3,21,19.612561464309692
19,EP020,-29,21,-19,18,21.213041305541992
20,EP021,-30,30,-19,37,20.982561588287354
21,EP022,-27,28,-12,26,19.336926221847534
22,EP023,-15,15,-9,38,16.116777420043945
23,EP024,-18,17,-13,39,22.733636140823364
24,EP025,-22,32,-8,21,24.46336007118225
25,EP026,-13,16,14,32,19.920716047286987
26,EP027,8,15,9,30,18.395140409469604
27,EP028,9,28,51,27,17.12362790107727
28,EP029,-31,29,-16,26,21.27754521369934
29,EP030,-23,46,-20,30,17.570943117141724
30,EP031,-24,33,-16,31,22.438148021697998
31,EP032,-28,35,19,33,25.153475761413574
32,EP033,-25,31,-9,25,19.536691427230835
33,EP034,-23,29,-9,25,22.9568350315094
34,EP035,-17,20,-3,26,25.16109585762024
35,EP036,-20,16,-25,17,13.870981454849243
36,EP037,-22,27,-16,26,26.674712419509888
37,EP038,-15,36,-6,24,27.567805528640747
38,EP039,-25,16,-12,25,23.829110860824585
39,EP040,-20,37,0,20,14.09565544128418
40,EP041,-29,25,-21,34,21.68732261657715
41,EP042,-20,19,-4,25,17.096176624298096
42,EP043,-28,28,-20,16,21.899775743484497
43,EP044,-10,30,-1,16,20.09915518760681
44,EP045,-26,29,-10,35,20.776244163513184
45,EP046,-30,28,0,17,21.073256015777588
46,EP047,-13,24,-2,22,26.015965700149536
47,EP048,-25,31,-7,20,21.1281578540802
48,EP049,-12,17,6,21,18.611777544021606
49,EP050,-20,28,-18,34,21.47525715827942
50,EP051,-27,28,-20,23,19.763691902160645
51,EP052,-14,21,-3,24,22.02798557281494
52,EP053,-20,26,-16,30,22.906932830810547
53,EP054,-22,15,-17,20,20.474290132522583
54,EP055,-19,32,-11,25,21.111958265304565
55,EP056,-19,18,-3,29,19.371657133102417
56,EP057,-5,22,-14,33,20.69726252555847
57,EP058,-3,35,-20,66,17.747790336608887
58,EP059,-37,22,-15,36,32.06015992164612
59,EP060,-26,27,-16,31,15.243212461471558
60,EP061,10,27,-6,28,20.726593255996704
61,EP062,-21,35,-11,36,24.349844455718994
62,EP063,-19,19,15,32,23.833717346191406
63,EP064,-28,32,-7,30,22.361677646636963
64,EP065,-10,30,-2,17,18.3101863861084
65,EP066,-31,28,-7,28,19.672196626663208
66,EP067,-31,58,15,26,20.304474592208862
67,EP068,-41,23,-6,26,17.33732008934021
68,EP069,-19,16,-10,16,17.439486980438232
69,EP070,-24,35,-22,21,19.663599967956543
70,EP071,-10,30,-3,30,21.61117386817932
71,EP072,-26,23,-20,31,23.615729570388794
72,EP073,-13,13,-15,20,18.171064615249634
73,EP074,-28,27,-10,22,19.55360436439514
74,EP075,-20,34,-8,28,23.92724370956421
75,EP076,-10,26,-2,18,19.197011470794678
76,EP077,-13,18,-19,20,27.31093692779541
77,EP078,-1,41,-16,34,24.562004566192627
78,EP079,-9,50,48,62,19.519707679748535
79,EP080,-26,20,-2,18,23.269956350326538
80,EP081,-30,20,-10,17,20.143914461135864
81,EP082,-24,34,-10,31,19.194761276245117
82,EP083,-14,24,2,18,19.562093496322632
83,EP084,-17,21,-6,19,17.518818140029907
84,EP085,-16,30,-18,20,22.818092823028564
85,EP086,-15,54,-1,22,19.287355184555054
86,EP087,-13,23,-13,18,21.54241943359375
87,EP088,-5,31,47,26,22.376083374023438
88,EP089,10,28,-8,26,22.229378700256348
89,EP090,-13,30,-21,35,19.487329721450806
90,EP091,-35,21,13,34,20.759321928024292
91,EP092,-47,43,-7,26,15.455127239227295
92,EP093,-21,20,-9,30,17.88522505760193
93,EP094,-27,32,-10,30,20.00537347793579
94,EP095,3,37,0,20,19.384088277816772
95,EP096,-21,32,-14,37,22.492103099822998
96,EP097,-16,19,-3,31,24.75540566444397
97,EP098,0,22,11,18,24.772030115127563
98,EP099,5,23,67,25,20.825286626815796
99,EP100,-27,32,9,58,19.920449256896973
100,EP101,-3,20,82,40,22.975722551345825
101,EP102,-32,24,-14,27,23.355806350708008
102,EP103,-20,34,-12,30,16.187708377838135
103,EP104,-20,21,-17,21,26.836998462677002
104,EP105,-23,34,-16,30,26.85655403137207
105,EP106,-19,32,-13,15,27.332372188568115
106,EP107,-9999,-9999,-9999,-9999,0.0
107,EP108,-9999,-9999,-9999,-9999,0.0
108,EP109,-9999,-9999,-9999,-9999,0.0
109,EP110,-9,30,29,16,20.63379216194153
110,EP111,-19,26,-1,35,21.198383569717407
111,EP112,-8,47,33,31,28.663325309753418
112,EP113,-26,34,-1,20,22.856614112854004
