,file_name,first_start,first_end,second_start,second_end,time
0,EP001,770,3590,3780,6820,31.062488317489624
1,EP002,590,3330,3640,6580,22.579123735427856
2,EP003,680,3540,3790,6750,25.15376305580139
3,EP004,790,3770,3840,6960,27.178577423095703
4,EP005,-9999,-9999,-9999,-9999,0.0
5,EP006,660,3460,3590,6330,19.839197635650635
6,EP007,700,3680,3820,6800,28.353514671325684
7,EP008,740,3780,3930,6910,28.61566996574402
8,EP009,730,3590,3650,6550,25.794201374053955
9,EP010,730,3570,3810,6970,30.046129941940308
10,EP011,560,3460,3570,6630,22.96490454673767
11,EP012,630,3510,3790,6830,26.255797386169434
12,EP013,580,3600,3730,6470,20.318665742874146
13,EP014,680,3560,3800,6940,28.241606950759888
14,EP015,570,3450,3700,6660,24.590811491012573
15,EP016,680,3540,3640,6760,25.295042276382446
16,EP017,570,3530,3790,6790,26.642085790634155
17,EP018,640,3380,3620,6360,22.981192588806152
18,EP019,630,3430,3560,6520,20.538233757019043
19,EP020,640,3520,3750,6730,24.487477779388428
20,EP021,630,3470,3670,6610,24.978238821029663
21,EP022,580,3400,3670,6590,24.087841033935547
22,EP023,590,3570,3720,6460,19.020785808563232
23,EP024,690,3590,3730,6710,24.929672241210938
24,EP025,700,3620,3810,6870,29.116425037384033
25,EP026,580,3340,3720,6440,23.601712703704834
26,EP027,640,3400,3700,6640,22.68841052055359
27,EP028,590,3390,3710,6650,22.196034908294678
28,EP029,610,3490,3740,6740,26.976805210113525
29,EP030,640,3480,3720,6780,22.993261575698853
30,EP031,630,3450,3760,6720,26.73787498474121
31,EP032,790,3650,3820,6840,29.478970289230347
32,EP033,600,3440,3640,6380,20.45457172393799
33,EP034,630,3510,3830,6690,22.88473916053772
34,EP035,650,3590,3870,6630,26.723199605941772
35,EP036,620,3500,3510,6430,16.607258319854736
36,EP037,630,3610,3730,6650,26.656355142593384
37,EP038,580,3340,4130,7070,33.266717195510864
38,EP039,570,3410,3760,6780,27.850103616714478
39,EP040,590,3470,3640,6540,17.633528232574463
