,file_name,first_start,first_end,second_start,second_end,time
0,EP001,770,3588,3778,6816,31.86022114753723
1,EP002,580,3338,3628,6586,26.971503734588623
2,EP003,680,3558,3788,6746,30.948198080062866
3,EP004,820,3718,3838,6956,28.34451985359192
4,EP006,670,3468,3578,6336,17.92518901824951
5,EP007,700,3638,3828,6806,26.341895580291748
6,EP008,730,3788,3928,6926,25.842838525772095
7,EP009,740,3598,3638,6556,20.136247396469116
8,EP010,720,3578,3808,6966,26.479748487472534
9,EP011,490,3468,3568,6626,20.001068592071533
10,EP012,620,3518,3778,6836,21.72785997390747
11,EP013,600,3578,3728,6466,18.68879461288452
12,EP014,690,3568,3788,6946,26.924812078475952
13,EP015,600,3458,3688,6666,23.148152589797974
14,EP016,640,3558,3628,6746,21.156360626220703
15,EP017,590,3468,3788,6766,24.211609601974487
16,EP018,640,3398,3628,6366,17.486951112747192
17,EP019,640,3438,3548,6526,19.488953113555908
18,EP020,660,3518,3748,6746,22.520188808441162
19,EP021,680,3458,3678,6596,22.88918423652649
20,EP022,610,3408,3668,6586,21.040651559829712
21,EP023,610,3568,3708,6466,20.351851224899292
22,EP024,700,3498,3718,6716,27.824867486953735
23,EP025,730,3628,3818,6876,27.740358591079712
24,EP026,460,3338,3718,6456,19.665409803390503
25,EP027,660,3418,3698,6656,22.61397886276245
26,EP028,620,3398,3698,6656,21.32336950302124
27,EP029,650,3508,3738,6736,25.77772855758667
28,EP030,650,3488,3718,6776,25.168022394180298
