,file_name,first_start_diff,first_end_diff,second_start_diff,second_end_diff,time
0,EP001,-17,18,-21,21,18.718237161636353
1,EP002,-19,19,-21,16,14.261610984802246
2,EP003,-20,17,-16,16,19.103031158447266
3,EP004,13,27,-17,17,23.627779960632324
4,EP006,-94,18,-3,23,10.167483806610107
5,EP007,-19,19,-16,12,19.28294539451599
6,EP008,-21,14,-19,17,20.08027148246765
7,EP009,-21,12,38,19,14.13941502571106
8,EP010,-19,21,-139,25,22.500309467315674
9,EP011,-316,19,-19,21,19.3518545627594
10,EP012,-21,24,-88,21,18.39714765548706
11,EP013,-4,29,-1,17,13.321669578552246
12,EP014,-1,14,-11,21,21.166794776916504
13,EP015,-2,18,-117,20,17.704270839691162
14,EP016,-56,14,-145,18,18.91343402862549
15,EP017,-17,14,-16,-95,16.185885190963745
16,EP018,-28,34,-18,18,9.993824005126953
17,EP019,-21,19,2,19,14.899323225021362
18,EP020,-314,15,-35,21,19.87642478942871
19,EP021,-20,19,-20,-5,15.072412014007568
20,EP022,8,22,-8,19,13.237081527709961
21,EP023,-35,34,-25,21,13.095228672027588
22,EP024,-13,11,-14,27,17.433424472808838
23,EP025,-92,21,-19,19,21.477481603622437
24,EP026,-133,15,-17,20,11.06843614578247
25,EP027,-2,14,-2,18,14.35230565071106
26,EP028,-6,22,-15,20,15.016416788101196
27,EP029,9,18,-17,14,18.234315395355225
28,EP030,-13,35,-21,18,18.231672763824463
29,EP031,-14,32,-87,19,17.475080966949463
30,EP032,-18,24,-7,-274,14.061960220336914
31,EP033,-405,20,-90,13,15.488277435302734
32,EP034,-228,23,-105,28,18.65692114830017
33,EP035,-7,19,-9,19,15.564424514770508
34,EP036,-20,15,59,30,11.475144386291504
35,EP037,-62,16,-17,14,17.903103590011597
36,EP038,-300,20,-717,32,26.50383448600769
37,EP039,-15,15,-23,13,17.215598344802856
38,EP040,-10,26,-16,-167,10.017171859741211
39,EP041,-19,14,-22,32,18.894288539886475
40,EP042,-5,13,-20,18,15.278473138809204
41,EP043,-543,22,-6,19,25.119081735610962
42,EP044,-15,14,-17,19,19.809736013412476
43,EP045,-21,23,-21,13,18.2234148979187
44,EP046,-210,17,-16,20,18.64956545829773
45,EP047,-18,18,-643,20,26.291667222976685
46,EP048,-15,20,-13,13,16.485968112945557
47,EP049,18,16,-20,14,16.233318328857422
48,EP050,-20,17,-19,22,19.215301275253296
49,EP051,-22,12,-21,11,18.97199511528015
50,EP052,-19,15,-14,12,17.81618356704712
51,EP053,-10,25,-22,23,17.454691410064697
52,EP054,-7,19,-8,18,14.697961330413818
53,EP055,-14,16,-12,33,17.89761972427368
54,EP056,-9,17,-14,17,13.8578200340271
55,EP057,10,16,-5,21,14.624166011810303
56,EP058,-293,-266,-426,-251,9.272717714309692
57,EP059,-222,16,-21,19,26.098754167556763
58,EP060,-186,16,-7,19,10.30097484588623
59,EP061,-5,21,-17,16,16.388468503952026
60,EP062,-16,19,-7,19,20.60748267173767
61,EP063,-14,13,-16,30,18.607224941253662
62,EP064,2,21,-18,28,17.5765380859375
63,EP065,5,14,-18,20,11.896197319030762
64,EP066,-221,17,-8,16,13.785837411880493
65,EP067,-11,47,-16,14,16.330108404159546
66,EP068,4,17,-7,14,13.56616473197937
67,EP069,-4,20,-11,14,10.066301345825195
68,EP070,-19,19,-23,19,17.971734762191772
69,EP071,-15,14,-4,28,17.087724685668945
70,EP072,-21,17,-136,14,19.51233673095703
71,EP073,-18,17,-11,23,14.837569236755371
72,EP074,-278,16,-21,20,20.323564529418945
73,EP075,-405,18,-19,26,18.609655380249023
74,EP076,-15,20,-8,21,17.757289171218872
75,EP077,-88,-138,-500,18,23.385252714157104
76,EP078,4,25,-7,12,16.640824556350708
77,EP079,-14,24,-158,15,13.643144845962524
78,EP080,-16,19,-18,11,16.616597414016724
79,EP081,-10,19,-16,30,13.37095308303833
80,EP082,-199,28,-101,19,18.844732999801636
81,EP083,-19,18,-4,31,17.42219853401184
82,EP084,-2,15,-12,12,14.655949354171753
83,EP085,-21,14,-19,18,19.00217080116272
84,EP086,-95,13,-2,20,16.215550661087036
85,EP087,-228,17,-189,11,16.761105060577393
86,EP088,-290,25,-19,19,22.90243649482727
87,EP089,-20,17,-19,14,18.142943382263184
88,EP090,-18,14,-12,13,16.635040760040283
89,EP091,-20,15,7,27,16.44795298576355
90,EP092,-92,27,-18,14,11.498517990112305
91,EP093,-11,19,-15,23,12.79291558265686
92,EP094,-22,26,-16,13,14.421836614608765
93,EP095,-272,21,-6,13,18.250240325927734
94,EP096,-21,21,-20,20,17.454509735107422
95,EP097,-21,23,-9,24,19.58382773399353
96,EP098,-5,16,0,16,18.14890146255493
97,EP099,5,12,1,18,18.175776958465576
98,EP100,-7,11,-22,66,16.317646980285645
99,EP101,-18,14,-4,13,14.496315002441406
100,EP102,-22,23,-20,10,19.727888584136963
101,EP103,-225,18,-23,28,15.172729969024658
102,EP104,-15,15,-18,19,19.502381801605225
103,EP105,-8,28,-2,13,20.121540546417236
104,EP106,-9,11,-14,23,17.940954446792603
105,EP107,-220,-322,-507,-730,5.345618009567261
106,EP108,-329,-312,-352,-375,7.5095298290252686
107,EP109,82,70,170,20,13.379467010498047
108,EP110,-19,29,-17,19,16.55829405784607
109,EP111,-19,15,-7,28,18.740200996398926
110,EP112,-248,16,-208,19,27.438766717910767
111,EP113,-16,23,-152,18,19.3698148727417
