,file_name,first_start_diff,first_end_diff,second_start_diff,second_end_diff,time
0,EP001,-22,32,-12,29,31.86022114753723
1,EP002,-24,33,-27,19,26.971503734588623
2,EP003,-25,31,13,24,30.948198080062866
3,EP004,8,21,-18,25,28.34451985359192
4,EP006,-14,27,-14,41,17.92518901824951
5,EP007,-19,28,-7,30,26.341895580291748
6,EP008,-26,28,-20,35,25.842838525772095
7,EP009,4,26,-3,37,20.136247396469116
8,EP010,-14,25,-5,28,26.479748487472534
9,EP011,-116,28,-20,29,20.001068592071533
10,EP012,-26,28,-4,34,21.72785997390747
11,EP013,-4,28,-17,20,18.68879461288452
12,EP014,-16,28,-17,34,26.924812078475952
13,EP015,-2,27,-13,23,23.148152589797974
14,EP016,-61,38,-151,21,21.156360626220703
15,EP017,-17,33,-12,28,24.211609601974487
16,EP018,-23,38,-4,31,17.486951112747192
17,EP019,-6,33,-9,27,19.488953113555908
18,EP020,-9,19,-21,34,22.520188808441162
19,EP021,0,18,-11,23,22.88918423652649
20,EP022,3,36,-14,22,21.040651559829712
21,EP023,-35,33,-31,34,20.351851224899292
22,EP024,-18,15,-25,45,27.824867486953735
23,EP025,-2,30,0,27,27.740358591079712
24,EP026,-143,24,12,48,19.665409803390503
25,EP027,-12,33,-23,36,22.61397886276245
26,EP028,9,26,19,33,21.32336950302124
27,EP029,-1,37,-18,22,25.77772855758667
28,EP030,-23,44,-22,26,25.168022394180298
