,file_name,first_start_diff,first_end_diff,second_start_diff,second_end_diff,time
0,EP001,-22,34,-10,33,31.062488317489624
1,EP002,-14,25,-15,13,22.579123735427856
2,EP003,-25,13,15,28,25.15376305580139
3,EP004,-22,73,-16,29,27.178577423095703
4,EP005,-9999,-9999,-9999,-9999,0.0
5,EP006,-24,19,-2,35,19.839197635650635
6,EP007,-19,70,-15,24,28.353514671325684
7,EP008,-16,20,-18,19,28.61566996574402
8,EP009,-6,18,9,31,25.794201374053955
9,EP010,-4,17,-3,32,30.046129941940308
10,EP011,-46,20,-18,33,22.96490454673767
11,EP012,-16,20,8,28,26.255797386169434
12,EP013,-24,50,-15,24,20.318665742874146
13,EP014,-26,20,-5,28,28.241606950759888
14,EP015,-32,19,-1,17,24.590811491012573
15,EP016,-21,20,-139,35,25.295042276382446
16,EP017,-37,95,-10,52,26.642085790634155
17,EP018,-23,20,-12,25,22.981192588806152
18,EP019,-16,25,3,21,20.538233757019043
19,EP020,-29,21,-19,18,24.487477779388428
20,EP021,-50,30,-19,37,24.978238821029663
21,EP022,-27,28,-12,26,24.087841033935547
22,EP023,-55,35,-19,28,19.020785808563232
23,EP024,-28,107,-13,39,24.929672241210938
24,EP025,-32,22,-8,21,29.116425037384033
25,EP026,-23,26,14,32,23.601712703704834
26,EP027,-32,15,-21,20,22.68841052055359
27,EP028,-21,18,31,27,22.196034908294678
28,EP029,-41,19,-16,26,26.976805210113525
29,EP030,-33,36,-20,30,22.993261575698853
30,EP031,-34,23,-16,31,26.73787498474121
31,EP032,-28,35,9,23,29.478970289230347
32,EP033,-45,91,-19,15,20.45457172393799
33,EP034,-33,19,-9,25,22.88473916053772
34,EP035,-27,30,-3,26,26.723199605941772
35,EP036,-40,16,-25,37,16.607258319854736
36,EP037,-52,37,-16,26,26.656355142593384
37,EP038,-25,26,-16,34,33.266717195510864
38,EP039,-35,26,-12,25,27.850103616714478
39,EP040,-20,37,0,20,17.633528232574463
40,EP041,-29,25,-21,34,27.336337327957153
41,EP042,-20,19,-4,25,20.496068000793457
42,EP043,-28,28,-20,36,27.01487970352173
43,EP044,-10,50,-1,36,25.46976137161255
44,EP045,-26,29,-10,35,25.64896011352539
45,EP046,-50,28,0,17,25.195746898651123
46,EP047,-13,24,-2,22,33.12911820411682
47,EP048,-25,31,-17,30,23.011956691741943
48,EP049,-12,17,6,21,20.2565176486969
49,EP050,-30,18,-18,34,23.499193906784058
50,EP051,-37,18,-20,23,21.758621215820312
51,EP052,-14,21,-3,24,24.55200481414795
52,EP053,-30,36,-16,30,23.77086901664734
53,EP054,-22,15,-17,20,21.8995578289032
54,EP055,-19,32,-21,15,22.148233652114868
55,EP056,-19,18,-13,19,21.33072805404663
56,EP057,-15,32,-14,33,21.769433975219727
57,EP058,-23,75,-20,66,18.77745270729065
58,EP059,-37,22,-15,36,32.37864875793457
59,EP060,-26,27,-16,31,16.328981637954712
60,EP061,-20,17,-6,28,21.921363592147827
61,EP062,-21,35,-21,26,24.887155771255493
62,EP063,-19,19,-15,22,25.92929983139038
63,EP064,-28,32,-7,30,23.652767419815063
64,EP065,-10,30,-12,27,19.5454580783844
65,EP066,-31,28,-7,28,20.65193247795105
66,EP067,-31,78,15,26,22.67096209526062
67,EP068,-41,23,-6,26,19.532877445220947
68,EP069,-19,16,-10,16,19.34478259086609
69,EP070,-24,75,-22,21,22.355217695236206
70,EP071,-20,20,-3,30,24.326058387756348
71,EP072,-26,23,-20,31,26.48976707458496
72,EP073,-23,43,-15,20,20.340616941452026
73,EP074,-38,17,-10,22,22.312103033065796
74,EP075,-20,34,-18,38,25.78739833831787
75,EP076,-10,46,-2,18,21.79939842224121
76,EP077,-23,28,-19,20,30.79857897758484
77,EP078,-11,31,-16,34,28.922078371047974
78,EP079,-9,50,48,62,21.5197594165802
79,EP080,-26,20,-2,18,26.123865365982056
80,EP081,-40,30,-10,17,22.016512393951416
81,EP082,-24,34,-20,21,22.764195680618286
82,EP083,-34,24,-8,28,24.05067777633667
83,EP084,-27,91,-6,19,21.645232915878296
84,EP085,-26,20,-18,20,24.40404486656189
85,EP086,-25,24,-1,62,21.15817165374756
86,EP087,-13,23,-13,18,23.264638900756836
87,EP088,-25,51,-3,36,23.604402542114258
88,EP089,-30,68,-8,26,22.456239223480225
89,EP090,-13,30,-21,35,21.815519094467163
90,EP091,-35,21,13,34,22.376064777374268
91,EP092,-47,83,-7,26,16.52691078186035
92,EP093,-31,70,-19,20,18.721803188323975
93,EP094,-27,32,-10,70,21.592461585998535
94,EP095,-27,27,0,20,20.627214193344116
95,EP096,-21,92,-14,37,25.67814016342163
96,EP097,-36,19,-3,31,26.710724115371704
97,EP098,-10,92,-19,28,27.103616952896118
98,EP099,-15,23,-3,15,23.9499614238739
99,EP100,-27,32,9,78,26.290771484375
100,EP101,-13,70,-8,30,27.085366010665894
101,EP102,-32,24,-14,27,30.489917993545532
102,EP103,-50,24,-22,40,21.073566436767578
103,EP104,-30,71,-17,21,31.201247215270996
104,EP105,-23,134,-16,30,29.3480122089386
105,EP106,-29,22,-13,15,31.913419485092163
106,EP107,-9999,-9999,-9999,-9999,0.0
107,EP108,-9999,-9999,-9999,-9999,0.0
108,EP109,337,316,46,17,26.18547296524048
109,EP110,-19,80,-11,16,24.535401821136475
110,EP111,-19,26,-1,35,27.323005437850952
111,EP112,-28,87,-207,31,29.887677669525146
112,EP113,-26,74,-1,20,28.982924461364746
113,EP114,-52,27,-6,13,30.56556797027588
114,EP115,-7,13,7,20,26.281442403793335
115,EP116,-36,19,-29,14,22.821693658828735
116,EP117,-22,28,-17,33,20.658923625946045
117,EP118,-31,27,-20,19,27.592456340789795
118,EP119,-21,18,-13,27,28.268943786621094
119,EP120,-27,70,-8,21,28.362863779067993
120,EP121,-16,32,-10,30,27.348793506622314
121,EP122,-28,29,0,35,20.622353076934814
122,EP123,-29,87,-16,120,29.447717666625977
123,EP124,-27,32,-14,21,27.470629453659058
124,EP125,-38,16,-9,30,28.649616956710815
125,EP126,-39,25,30,20,29.007814645767212
126,EP127,-38,22,-18,33,24.214210033416748
127,EP128,-55,24,-6,31,21.218624114990234
128,EP129,-35,44,-4,31,26.06986427307129
129,EP130,-28,27,-20,18,18.91477346420288
130,EP131,-22,35,-18,21,24.02243995666504
131,EP132,-26,28,-4,31,24.740923643112183
132,EP133,-39,23,11,21,21.995399951934814
133,EP134,-26,36,-10,27,21.655153274536133
134,EP135,-38,36,-18,36,23.497965335845947
135,EP136,-33,27,-14,30,24.857279539108276
136,EP137,-30,34,-6,21,26.887861490249634
137,EP138,-14,20,4,17,27.49763011932373
138,EP139,-29,30,-17,28,28.7400484085083
139,EP140,-31,27,-7,27,24.9200439453125
140,EP141,-42,34,-9,30,18.83603572845459
141,EP142,-37,15,-116,35,22.377968788146973
142,EP143,-22,18,-16,38,22.420053958892822
143,EP144,-38,23,-18,36,23.8581383228302
144,EP145,-41,35,-13,32,22.868644952774048
145,EP146,12,30,-13,18,29.706211805343628
146,EP147,-23,95,-7,22,27.724732637405396
147,EP148,-34,23,4,21,21.817821264266968
148,EP149,-22,23,-9,38,33.17808222770691
149,EP150,-13,29,-16,21,32.848246574401855
