,file_name,first_start,first_end,second_start,second_end,time
0,EP001,793,3561,3788,6782,19.05333638191223
1,EP005,1107,3871,4086,7026,16.378904104232788
2,EP030,674,3460,3738,6748,17.147566556930542
3,EP040,611,3441,3644,6516,12.57862138748169
4,EP050,661,3669,3935,6815,14.10750412940979
5,EP060,628,3330,3604,6316,4.623483896255493
6,EP070,616,3528,3699,6757,18.958044290542603
7,EP080,697,3461,3820,6798,13.072906970977783
8,EP090,612,3480,3779,6703,15.613590478897095
9,EP100,648,3584,3938,6744,13.741467475891113
10,EP110,609,3433,3719,6691,12.784383058547974
11,EP120,658,3602,3967,6915,18.153202056884766
12,EP130,608,3492,3808,6510,10.223885536193848
13,EP140,611,3373,3815,6795,11.46535325050354
14,EP150,724,3540,4015,6835,10.318045854568481
