,file_name,first_start,first_end,second_start,second_end,time
0,EP001,793,3561,3788,6602,38.080751180648804
1,EP005,1107,3932,4086,7026,32.35727143287659
2,EP010,733,3553,3810,6918,76.87668871879578
3,EP020,669,3495,3766,6682,38.04872703552246
4,EP030,674,3460,3738,6748,35.45531415939331
5,EP040,611,3441,3644,6588,25.18262219429016
6,EP050,661,3669,3935,6815,25.861458778381348
7,EP060,628,3330,3604,6316,9.997729539871216
8,EP070,616,3528,3699,6757,36.144214153289795
9,EP080,697,3461,3820,6798,27.528353214263916
10,EP090,612,3480,3779,6703,30.490294456481934
11,EP100,648,3584,3938,6744,25.975280284881592
12,EP110,609,3433,3719,6691,22.51757574081421
13,EP120,658,3602,3967,6915,34.76313304901123
14,EP130,608,3492,3808,6510,21.95208430290222
15,EP140,611,3373,3815,6795,21.085803985595703
16,EP150,724,3540,4015,6835,20.173177242279053
