,file_name,first_start,first_end,second_start,second_end,time
0,EP001,793,3561,3788,6782,19.71774983406067
1,EP005,1107,3871,4086,7026,17.172783613204956
2,EP030,674,3461,3738,6748,18.094664335250854
3,EP040,611,3441,3644,6516,13.193222522735596
4,EP050,661,3670,3936,6812,16.49677300453186
5,EP060,628,3330,3604,6312,4.903862237930298
6,EP070,616,3533,3699,6758,19.971158504486084
7,EP080,697,3461,3820,6798,13.765460729598999
8,EP090,612,3480,3779,6702,16.539653062820435
9,EP100,648,3583,3937,6742,13.643915176391602
10,EP110,609,3432,3710,6692,16.082780122756958
11,EP120,658,3600,3967,6914,19.160520792007446
12,EP130,608,3492,3808,6510,10.820242404937744
13,EP140,611,3373,3815,6798,12.220312356948853
14,EP150,724,3540,4015,6836,10.971030950546265
