,file_name,first_start_diff,first_end_diff,second_start_diff,second_end_diff,time
0,EP001,1,5,-2,-5,19.05333638191223
1,EP005,2,-3,-2,-1,16.378904104232788
2,EP030,1,16,-2,-2,17.147566556930542
3,EP040,1,8,4,-4,12.57862138748169
4,EP050,1,-3,-3,-11,14.10750412940979
5,EP060,2,-3,-2,-3,4.623483896255493
6,EP070,2,93,-3,-2,18.958044290542603
7,EP080,1,-9,-2,-4,13.072906970977783
8,EP090,-1,-10,-2,-2,15.613590478897095
9,EP100,1,-4,-3,52,13.741467475891113
10,EP110,0,3,-2,-3,12.784383058547974
11,EP120,1,2,-1,-4,18.153202056884766
12,EP130,0,-1,-2,-2,10.223885536193848
13,EP140,0,0,-2,-8,11.46535325050354
14,EP150,1,-1,-1,-4,10.318045854568481
