,file_name,first_start_diff,first_end_diff,second_start_diff,second_end_diff,time
0,EP001,1,5,-2,-247,20.15016007423401
1,EP005,2,-3,-2,-19,38.99003195762634
2,EP010,-1,-6,-3,-370,37.37034893035889
3,EP020,0,-4,-3,-174,25.66379690170288
4,EP030,1,16,-2,-2,35.342450857162476
5,EP040,1,8,4,-4,24.34211301803589
6,EP050,1,-3,-3,-139,20.996530771255493
7,EP060,2,-3,-2,-3,9.885965824127197
8,EP070,2,11,-3,-2,30.700319051742554
9,EP080,1,-9,-2,-226,13.827990770339966
10,EP090,-1,-10,-2,-4,30.32792901992798
11,EP100,1,-6,-3,52,25.59429407119751
12,EP110,0,3,-2,-3,23.52262282371521
13,EP120,1,2,-1,-4,36.98458743095398
14,EP130,0,-5,-2,-2,23.216917991638184
15,EP140,0,-2,-2,-236,13.24507451057434
16,EP150,1,-3,-1,-4,20.131781339645386
