,file_name,first_start_diff,first_end_diff,second_start_diff,second_end_diff,time
0,EP001,1,5,-2,-5,19.71774983406067
1,EP005,2,-3,-2,-1,17.172783613204956
2,EP030,1,17,-2,-2,18.094664335250854
3,EP040,1,8,4,-4,13.193222522735596
4,EP050,1,-2,-2,-14,16.49677300453186
5,EP060,2,-3,-2,-7,4.903862237930298
6,EP070,2,98,-3,-1,19.971158504486084
7,EP080,1,-9,-2,-4,13.765460729598999
8,EP090,-1,-10,-2,-3,16.539653062820435
9,EP100,1,-5,-4,50,13.643915176391602
10,EP110,0,2,-11,-2,16.082780122756958
11,EP120,1,0,-1,-5,19.160520792007446
12,EP130,0,-1,-2,-2,10.820242404937744
13,EP140,0,0,-2,-5,12.220312356948853
14,EP150,1,-1,-1,-3,10.971030950546265
